combo,year,age,tarsus,nares,mass,plot,elevation,s_r_area,s_l_area,u_r_area,u_l_area,s_r_bright,s_l_bright,u_r_bright,u_l_bright,complete_repro,n_fledge,cid,f_prey_biomass, m_prey_biomass,food_availability
ORGA,2023,SY,17.5,6.5,10.52,S_Upper,high,20.546,19.819,4.0905,5.8925,156.9265,133.2565,162.584,139.863,y,0,153,,,5.43433527
YRBA,2023,ASY,18.7,7.6,10.53,Main,middle,18.113,19.0845,5.3815,5.4875,125.424,130.798,128.577,133.9925,y,3,153,,,6.2861466
BRPA,2023,SY,18,7,10.54,N_Upper,high,20.428,19.0635,3.574,3.948,96.945,131.931,103.062,138.8075,n,,,11.75,0,6.05101592
GOPA,2023,ASY,19.8,4.7,10.57,Main,middle,15.995,,6.083,,,,,,y,3,153,12.33,0,5.47498267
RGRA,2022,SY,17.45,6.42,10.59,S_Upper,high,12.864,13.1605,3.4915,3.3975,,,,,y,0,159,,,4.38488096
BARO,2023,ASY,18.15,6.6,10.6,Outer,middle,11.0785,20.366,3.8765,3.959,141.006,195.546,137.0025,180.008,y,0,152,,,4.71127647
YPRA,2022,ASY,17.2,,10.61,Mid,low,16.4155,,4.98,,,,,,y,4,147,,,4.7059402
GYRA,2022,SY,19.16,6.74,10.62,Lower,low,19.6295,16.1315,3.857,4.4665,,,,,y,4,155,15.5,8.88,4.36265489
OAWP,2022,SY,17.93,6.43,10.65,Outer,middle,10.851,,2.805,,,,,,y,0,149,,,4.41549706
RYPA,2022,SY,18.44,7.35,10.66,Mid,low,22.792,15.5105,3.55,3.321,,,,,y,0,150,,,4.46395566
RAOY,2022,ASY,18.35,6.98,10.67,Lower,low,12.473,11.7065,3.2415,3.8245,,,,,y,0,146,,,4.46881403
PPRA,2022,SY,20.38,7.17,10.69,S_Upper,high,20.7805,22.2505,3.978,3.674,,,,,y,0,,,,4.32589997
BOGA,2021,SY,20.2,7.85,10.74,S_Upper,high,10.208,,2.1315,,117.40225,,137.35225,,y,4,149,2.5,1.13,7.14158448
KGBA,2021,SY,20.05,,10.75,Outer,middle,25.919,,7.701,,136.1725,,143.6415,,n,,,1.63,3.25,6.32372513
YAPY,2023,ASY,17.76,6.89,10.77,N_Upper,high,16.3785,16.135,5.1075,5.7715,129.25125,129.618,132.66375,134.0615,y,7,154,11.5,0,5.94483764
WORA,2023,ASY,18.67,6.78,10.77,Outer,middle,16.7235,19.734,4.248,3.2625,,,,,y,0,155,,,5.64503214
POKA,2022,SY,17.1,7.1,10.8,S_Upper,high,21.1445,21.1355,4.4785,4.052,,,,,y,4,153,6,4.63,5.15144135
YARK,2021,ASY,17.53,,10.8,Outer,middle,21.539,,5.7775,,113.70225,,110.62625,,n,,,,,6.52912183
PYRA,2023,SY,18.2,7.2,10.8,S_Upper,high,12.3785,12.6935,3.9625,5.8925,99.225,111.7505,119.0725,117.693,y,3,156,10.67,14.83,6.17923501
GGPA,2023,SY,17.9,7,10.83,S_Upper,high,13.7435,13.496,4.247,4.0245,162.1085,131.2075,147.2225,124.7155,y,4,152,,,5.60520591
POBA,2022,SY,17.44,6.4,10.87,N_Upper,high,15.307,18.7115,2.2025,3.0815,,,,,n,,,,,3.46566528
OGRA,2021,ASY,17.95,7.42,10.88,Main,middle,20.408,,6.9255,,139.554,,144.7145,,y,4,145,28.75,41.5,7.17015868
KOWA,2022,SY,17.8,6.2,10.9,N_Upper,high,26.6715,27.56,8.706,7.93,,,,,y,0,154,,,4.65909543
KROA,2022,SY,17.95,6.31,10.91,Outer,middle,24.7755,24.368,4.7435,5.247,,,,,y,0,154,,,4.24409119
KPRA,2022,SY,17.7,6.8,10.92,Mid,low,16.727,,4.154,,,,,,y,4,148,0.22,2.67,3.24548751
GARO,2021,ASY,21.24,,10.93,Outer,middle,33.992,,6.3275,,154.8875,,148.3015,,y,4,150,,,6.4420675
PGYA,2022,ASY,17.99,6.78,10.94,S_Upper,high,12.442,,3.653,,,,,,y,2,149,3,5.75,4.02228753
BYYA,2023,SY,18.44,7.08,10.95,Main,middle,15.4725,22.2455,4.4315,4.412,,,,,n,,,,,6.49687929
BPPA,2023,ASY,17.8,7.1,11.01,S_Upper,high,21.434,21.01,3.171,4.667,146.633,126.517,137.511,96.0255,n,,,,,5.39029733
OOOA,2023,ASY,18.4,6.8,11.02,Main,middle,13.99,13.5415,3.949,3.7235,72.6565,105.071,82.6525,115.619,y,4,151,0.5,0,6.49687929
RAWB,2021,SY,19.1,,11.03,S_Upper,high,14.7495,,2.65,,116.86725,,130.72775,,y,7,160,,,7.09340859
GWBA,2022,ASY,18.44,7.24,11.06,S_Upper,high,20.185,,4.8705,,,,,,y,3,149,6.83,8,5.16223658
YYYA,2022,SY,17.56,6.63,11.21,Outer,middle,17.2155,21.468,5.868,5.2,,,,,y,3,153,9.17,0.33,5.05919975
BAPW,2022,ASY,16.92,6.05,11.39,Lower,low,15.966,12.9105,3.9145,3.6745,,,,,y,0,146,2.67,8.5,4.50206318
WAOK,2021,ASY,19.8,,11.85,Lower,low,35.6615,,5.2,,127.485,,125.9775,,y,4,157,,,6.7873035
OARR,2023,SY,18.1,7,11.89,S_Upper,high,18.692,19.3105,5.097,5.137,103.3095,114.1055,108.9965,123.742,y,2,154,9.75,2.5,5.62137362
WAPB,2023,ASY,,6.6,,Mid,low,16.031,,2.3945,,,,,,y,2,169,15.75,0,5.21018938
